College_ID,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement
CLG0030,107,6.61,6.28,8,False,8,8,4,False
CLG0061,97,5.52,5.37,8,False,7,8,0,False
CLG0036,109,5.36,5.83,9,False,3,1,1,False
CLG0055,122,5.47,5.75,6,True,1,6,1,False
CLG0004,96,7.91,7.69,7,False,8,10,2,False
CLG0015,96,5.26,5.32,7,False,5,8,0,False
CLG0071,123,6.68,6.58,5,False,7,8,2,True
CLG0096,111,8.77,8.76,7,False,3,1,2,True
CLG0097,92,6.47,6.33,9,False,7,8,5,False
CLG0057,108,8.82,8.6,4,False,5,9,1,False
CLG0063,93,8.73,8.9,2,True,5,6,0,False
CLG0077,93,6.23,6.51,8,False,5,7,4,False
CLG0064,103,8.64,9.01,7,True,8,6,1,False
CLG0017,71,8.74,8.4,6,False,0,5,2,False
CLG0053,74,6.99,7.31,7,False,0,1,2,False
CLG0040,91,6.05,5.8,3,False,4,2,3,False
CLG0070,84,7.61,7.54,6,False,0,10,0,False
CLG0050,104,9.61,10.01,10,True,9,2,4,False
CLG0068,86,8.2,8.15,7,False,8,9,4,True
CLG0015,78,5.86,5.56,7,True,3,6,2,False
CLG0072,121,8.41,8.07,5,True,1,3,3,True
CLG0034,96,7.14,7.11,3,True,2,3,3,False
CLG0030,101,7.96,8.22,2,True,8,10,0,False
CLG0087,78,8.67,9.17,7,True,10,10,2,True
CLG0073,91,7.57,7.86,4,True,7,2,2,False
CLG0024,101,9.07,9.45,2,False,2,7,2,False
CLG0008,82,8.61,8.86,8,False,7,1,0,False
CLG0057,105,8.08,8.48,2,False,3,1,4,False
CLG0070,90,5.75,5.33,6,True,5,10,1,False
CLG0025,95,9.18,9.61,4,True,3,3,3,False
CLG0077,90,9.68,9.58,9,True,10,1,4,False
CLG0034,127,5.68,6.1,5,False,4,3,1,False
CLG0025,99,7.44,7.02,4,False,9,9,4,False
CLG0018,84,6.29,6.51,8,False,8,7,4,False
